క్రియ,అర్థం,Root word,To Know : 3,To Move : 4,To Do : 5 ,To Have : 6,To Be : 7,To Cut : 8 ,To Bound : 9,,
పులుము,"1.రద్దు, 2.రాచు, పూయు, 3.నలుపు, నలుచు, 4.కొట్టు, 5.అంటగట్టు, పైబడిజేయు, 6.వంచించు",,,,2,1,,,,,
పులుముకొను,"పలిపివైచు, మర్ధించు",పులుము,,1,2,,,,,,
పుల్లవడు,"1.స్తంభించు, మ్రానుపడు, 2.జింకు, సందేహించు",,,,1,2,,,,,
పుల్లవిఱుగు,"నిస్సారముగుటచే పుల్లలుగా విఱిగిపోవు; నిస్సారమగు, సత్వహినమగు",,,,1,,,2,,,
పువ్వుగట్టు,"పరిమళము గలిగించు, వాసితమువేయు",,,,1,2,,,,,
పుసలాయించు,బుజ్జగించు,,1,,,1,,,,,
పూచు=పూంచు,"పూను, ఉద్యమించు, 1.తాల్చు, వహించు, 2.పూను, అవలభించు, 3.వైచు, ప్రయోగించు",పూను,1,,2,,,,,,
పూటవడు,"బాధ్యత వహించుట, ఒకడు చేయవలసినపని తాను చేసెదనని పూనికగొను ",,,,,1,,2,,,
పూటవెట్టు,"పూచి వహింపజేయు, ప్రతిభువుగాజేయు  ",,,,2,,1,,,,
పూచు,"1.పుష్పితమగు, పుష్పించు, 2.విచ్చు, వికసించు, 3.శోభించు, ప్రకాశించు, 4.బట్టలు, డాగుపడు, 5.చిన్న చిన్న పొక్కులు లేచుట వలన పుండువడు, 6.మచ్చలుదేఱు, 7.నిస్సారమగు, నిస్సత్వగు",,,,2,1,,,,,
పూజించు,"అర్చించు, పూజచేయు",,,2,1,,,,,,
పూజెసేయు,ఘటాదులను-చిత్రించు,పూజె,,,2,1,,,,,
పూడు,"1.నిండు, నిండు, 2.మూసికొనిపోవు",,,,2,1,,,,,
పూ(డుచు)డ్చు,"1.పూడజేయు, 2.పాతు, నిక్షేపించు",పూడు,1,,,2,,,,,
పూదెగట్టు,"పూసగట్టు, పూసగానేర్వడు, ఘనీభూతమగు",,,,1,2,,,,,
పూను-ఊను,"1.కడగు ఉద్యమించు, 2.ప్రారంభించు, మొదలు పెట్టు, 3.ఉద్దెశించు, తలచు, 4.వహించు పక్షము వహించు, 5.నిలుచు, స్థిరముగనుండు, 6.ఆవేశించు, 8.నిండు ",,,1,2,,,,,,
పూనుకొను,"1. చెందు, పొందు, 2. గ్రహించు, పట్టుకొను",పూను+కొను-స్వార్ధమున,,2,,1,,,,,
పూయించు,పుష్పింపజేయు,పూచు,,2,,,1,,,,
పూయు,"1.చందనాదులను అలదు, ప్రాము, 2.యెత్తు, మేగు",,,,2,1,,,,,
పూరగించు,"1.నిర్వహించు, నెఱవేర్చు, కడపు, వెళ్లబ్రుచ్చు",,,2,,1,,,,,
పూరించు,నిండించు,,,,1,2,,,,,
పూర్ణ్ణీభవించు,"నిండు, పూర్ణమగు",,,,1,2,,,,,
పూసకట్టు,చిన్న చిన్న పూసలుగా నేర్పడు,పూస,,2,,1,,,,,
పూపికొను,"మీదబెట్టు కొను, పైనివైచికొను",పూయు,,,2,1,,,,,
పృచ్చించు,"అడుగు, ప్రశ్నించు",,,,2,,,1,,,
పెంకుగట్టు,ముదిరి గట్టిపడు,,,,2,,,1,,,
"పెంచు-పెంపు, పెనుచు","1.వృద్ధినొందించు, వర్ధిల్లజేయు, 2.పోషించు, సాకు, సమ్రణించు, కాపాడు, 3.ఉబికించు, స్థూలము చేయు, 4.చంపు, నాశముచేయు, 5.ఆర్పు, ఆర్పివేయు",పెరుగు,,,2,,,1,,,
పెంచుకొను,"1.పెంచు, వృద్ధినొందించు, 2.దత్తపుత్రునిగా స్వీకరించు, దత్తుచెసికొను.",పెంచు,,,2,,,1,,,
పెంటగట్టు,పెంటకై మందగట్టు,,,,2,,,1,,,
పెంటిపడు,కవగూడు,,,,2,,,1,,,
పెండిలిచేయు-పెండ్లిసేయు,వివాహము చేయు,,,,2,,,1,,,
పెండిలియాడు,వివాహమగు,,,,2,1,,,,,
పెండ్ల(డ్లియ)గు,"వివాహమాడు, పెండ్లాడు",,,,2,1,,,,,
పెండ్లా(డ్లియా)డు,"వివాహమగు, పెండ్లిచేసికొను",,,,2,1,,,,,
పెంపగు,"1.వర్ధిల్లు, అభివృద్ధినొందు,2.అతిశయించు, ఘనతకెక్కు",,,,2,,,1,,,
పెంపఱు,"పెంపుచెడు, తక్కూవపడు, కీడ్వడు",,,,2,1,,,,,
పెంపారుచు(ర్చు),"వర్ధిల్లజేయు, అతిశయింపజేయు",పెంపారు,,,1,,,,,,
పెంపు-పెంచు,"1.పోషించు, 2.నశింపజేయు, పోగొట్టు",,,,2,1,,,,,
పెంపుమీఱు,"అతిశయించు, ఘనతకెక్కు",పెంపు,,,2,1,,,,,
పెక(గ)లు,"1.పెల్లగిల్లు, ఉత్పాటితమగు,2.పగులు, బ్రద్ధలగు, 3.రాలు, ఊడిపోవు, 4.కదలు, కదలిపోవు, 5.వదలు, విడిపోవు,6.ప్రయాణమగు, బయలుదెరు",,,2,1,,,,,,
పెక్కలించు,"పెల్లగించు, పెఱుకు",,,,2,1,,,,,
పెచ్చగిల్లు,"అతిశయించు, చెలరేగు",పెచ్చు,,,2,1,,,,,
పెచ్చుపెరుగు,"1.మిక్కిలి అతిశయించు, పెంపెక్కు, 2. విజృంభించు, చెలరేగు",,,,2,1,,,,,
పెచ్చురేగు,"చెలరేగు, విజృంభించు",,,,2,1,,,,,
పెచ్చులెచ్చు,మిక్కిలి యధికమగు,,,,2,1,,,,,
పెటపెటమను-పెటపెటలాడు,పెటపెట అను ధ్వనికలదియగు,,,2,,1,,,,,
పెటపెటలాడు-పెటపెటమను,పెటపెట అను ధ్వనికలదియగు,,,2,,1,,,,,
పెటిలిం(ట్లి o)చు,"పెటులజేయు, ధ్వనికలుగుపట్లు పగుల్చు",పెటులు,,,2,1,,,,,
పెటిలిపడు,"కాకచేవేగు, తపించు",పెటులు,,,1,2,,,,,
పెటిలు ,"పెట్లు, చప్పుడగునట్ట్లు పగులు",,,1,2,,,,,,
పెటులు(ట్లు)-పెడులు,"1.చిటులు, పగులు, బ్రద్ధలగు, 2. ధ్వనించు, శబ్ధించు, 3.ఉష్టముచేత ఉబుకు, ప్రేలు",,,2,1,,,,,,
పెట్టించు,"పెట్టజేయు, 1.ఇప్పించు, 2.విడిపించు, 3.నెలకొల్పు, స్థాపించు, 4.నాటించు, పాతు, 5.కట్టించు, నిర్మింపజేయు, 6.వ్రాలు చేయించు, 7.ఉంచునట్లు చేయు",పెట్టు,,,1,,,,,,
పెట్టిపోయు,అన్నాదులొసగి పోషణము చేయు ,పెట్టు,,2,1,,,,,,
పెట్టు,"1.ఇచ్చు, ఒసగు, ఆహారమిచ్చు, 2.ఇడు, వైచు, వేయులవతెనే ఇది సందర్భమును బట్టి పెక్కర్ధముల నిచ్చును, 3.వడ్డించు,4.చెల్లించు, 5.పొందించు, పఱుచు, 6.ఆరోపించు, మోపు, 7.అమర్చు, తీర్చు, 8.అలదు, రాచు, 9.ఆభరణాదుల ధరించు, 10.ధరింపజేయు, 11.కలిగించు, 12.దిగవిడుచు, విడుచు, 13.ప్రసవించు, 14.పక్షులు గ్రుడ్లను పొదివి పిల్లలను చేయు, 15.ఒప్పగించు, 16.ఉంచు 17.నెలకొల్పు, నిలుపు, 18.నియోగించు, పనుచు, 19.గ్రుచ్చు, నాటు, 20.చేయు, కావించు, 21.నిర్ణయించు, 22.కట్టు, నిర్మించు, 23.కల్పించు, పన్ను, 24.నిర్ధేశించు, చూపు, 25.మూయు 26.ప్రహరించు, కొట్టు, చఱచు, 27.కొన్ని సకర్మధాతువుల క్త్వార్ధకరూపముల కనుప్రయుక్తమై ""అత్యంతము, పూర్తిగా"" అను నర్ధములిచ్చును, 28.పలుకు, ఉచ్చరించు ",,,2,1,,,,,,
పెట్టుకొను,"1.తాల్చు, ధరించు, నగలు పెట్టుకొను, పువ్వులు పెట్టుకొను, 2.వహించు, 3. ఉంచుకొను",,,,2,1,,,,,
పెట్టువడు,దెబ్బతిను,,,1,2,,,,,,
పెట్టెవెట్టు,పెట్టెవలె చుట్టుకొను,,,2,1,,,,,,
పెట్రకొలికికట్టు,పెడఱెక్కలు విఱిచికట్టు,,1,,1,,,,,,
పెట్లు,"1.బ్రద్దలగు, చీలు, చీటులు, పగులు, 2. కాలి ధ్వనిపూర్వకముగ పగులు, 3.పొగిసె దిక్కులు మెకంబులయంగములు",,,2,1,,,,,,
పెడబాపు,పెడదాయునకు ప్రేరణార్ధకము,,,2,1,,,,,,
పెడబాయు,ఎడబాయు,,,,1,,,,,,
పెడమరలు(ర్లు),ప్రక్కకుగాని వెనుకకు గాని మరలు,,,,2,1,,,,,
పెడమఱించు,వెడమఱునట్ట్లు చేయు,,,,2,,,,1,,
పెడమఱు,"వెనుకకు దిరుగు, వెనుక మొగమగు, ప్రక్కకుదిరుగు ",,,,2,,,,1,,
పెడమువెట్టు,కోపాదులచే మొగము ప్రక్కకు ద్రిప్పుకొను,,,,2,,,,1,,
పెడమొగమగు,"మాఱుమొగము వెట్టుకొను, పరాజ్మఖమగు",,,,2,1,,,,,
పెడమోమువడు,"మాఱుమొగము పెట్టు, పరాజ్మఖమగు",,,1,2,,,,,,
పెడయాకులబెట్టు,విడిచిపెట్టు,,,2,1,,,,,,
పెడరేచు,"మిక్కిలి ప్రోత్సహించు, పురికొల్పు",,,,2,,,,1,,
పెడవెట్టు,పరబ్ముఖమగు,,,2,1,,,,,,
పెడులు-పెటులు,"బ్రద్ధలగు, చీలు",,,2,,,,,1,,
పెదవెత్తు,"పలుకు, మాటాడు",,,2,,,,,1,,
పెద్దగజూచు,ఆదరించు,,,,2,1,,,,,
పెద్దనిద్దు(దు)రవోవు,"చచ్చు, మరణించు",,,1,2,,,,,,
పెనగబడు,"1.మెలిగొను, పెనవేసికొను, 2.అలముకొనబడు, దట్టముగా గప్పబడు",,,1,2,,,,,,
పెనగప్పు,"పెనగొను, దట్టమగు",,,,2,,,,1,,
పెనగాడు-పెనగులాడు,"మెలిగొను, పెనవేసికొను",,,,2,1,,,,,
పెనగు,"1.పెనగొను, మెలిగొను, చిక్కుపడు, 2.కూడు, కలయు,3.కలియు, సంభోగించు,4.పోరు, యుద్ధముచేయు, 5.వివాదపడు, తగవులాడు, 6.ఎదురాడు, మారాడు, 7.పెంకితనము చేయు, 8.గుంజులాడు, లాగులాడు, 9.శ్రమపడు, ప్రయాసపడు, 10,అడ్డపడు, 11.అంటు, పట్టు, నాటు, 12.అలముకొను, వ్యాపించు, 13.ప్రబలు, అతిశయించు, 

1. చుట్టుకొను, 2.కూడు, కలియు, 3.తాలపడు, తాకు






  



















",,,2,1,,,,,,
పెనగులాడు-పెనగాడు,"1.మల్లాడు, పోరు, గుంజులాడు, 2. మెలిగొను, చిక్కుపడు",,,2,1,,,,,,
పెనగువడు,"చేరు, కలియు",,,,2,,,1,,,
"పెనుగొను, పెంగొను, పెనలుగొను","1.మెలిగొను, పిరిగొను, అల్లుకొను, 2.దట్టమగు, అతిశయించు, 3.ఒండొంటితో కలియు, 1.చుట్టుకొను, ఆవరించు, 2.కలియు, కూడు",,,,1,2,,,,,
పెనగొల్పు,పనగొనజేయు,పనగొను,,,2,1,,,,,
పెనచు,"1.పెనవేయు, మెలిపెట్టు, 2.నిర్మించు, 3.గట్టిగాగట్టు, బంధించు, 4.కూర్చు, చేర్చు, కలుపు, 5.మెలివేసి పట్టుకొను",పెసగు,1,,2,,,,,,
పెనపు,"1.కలుపు, కూర్పు, చేర్చు, 2.పెనచు",పెనయు,,,2,1,,,,,
పెనయు,"కలియు, కూడు, పెనగు ",,,,2,,,1,,,
పెనవెట్టు,"పిరిపెట్టు, మె;లివేయు",,,,2,1,,,,,
వెనవేయు-పెనవైచు,"1.మెలిపెట్టు, 2.పశువుల నొకదానితో నొకటి జేర్చి బంధించు, లంకెవేయు ",,,2,1,,,,,,
పెనవైచు-పెనవేయు,మెలిపెట్టు,,,,1,2,,,,,
పెనుచు(న్చు)-పెంచు ,"1.వర్ధిల్లజేయు, 2.ఉబికించు, ఉబ్బించు, 3. రక్షించు, సాకు",పెరుగు,,,1,2,,,,,
పెనుపడు,"అతిశయిల్లు, వర్ధిల్లు",,,,2,1,,,,,
పెన్నాటకముసేయు,"విస్తరించి చెప్పు, అతిశయముగావచించు",,,,2,1,,,,,
పెరువు(ర్వు)-పెరుగు,"ఎదుగు, వర్ధిల్లు, 1. ఏండ్లు చెల్లినవాడు, వృద్ధుడు, వృద్ధురాలు, 2. పెరిగినది, వృద్ధిపొందినది",,,,2,1,,,,,
పెర్కు-పెఱుకు ,"ఊడబీకు, ఊడదీయు",,,,2,1,,,,,
పెఱికించు,"1.పెల్లగింపజేయు, 2.ఊడదీయించు, పీకించు, 3. మోయించు",పెఱుకు,,2,,1,,,,,
పెఱుకు-పెర్కు,"1.పెల్లగించు, ఉన్మూలించు, 2.ఊడబీకు, ఊడదీయు, దూయు, పైకిలాగు,3.పీకు, లాగు, 4.మోయు, వహించు, 5.మోయించు, మోయించితెచ్చు",,,2,1,,,,,,
పెఱగు-పెరుగు,ఎదుగు,,,2,1,,,,,,
పెలరు,తొలగు,,,,2,,,1,,,
పెలుకు(ల్కు) ఱు,"విహ్వలించు, భయపడు, 2.దిగులుపడు, బెంగపట్టికొను",,,,2,,,1,,,
పెల్లగిల్లు(లు),"1.పెకలు, ఉన్మూలితమగు, 2.ఊడు, ఊడిపోవు, 3.పాఱిపోవు, పలాయితమగు, 4.చలించు, కలగు, క్షోభించు, 5.పేడెత్తు, పగులు, 6.నశించు, చెడు, 7.వినబడు, బయలుపడు",పెల్ల,,,2,,,1,,,
పెల్లారు,అతిశయించు,పెల్లు,,,2,,,,1,,
పెల్లుకొను,"అతిశయిల్లు, విస్తరిల్లు",,,,2,1,,,,,
పెల్లుమీఱు,"అతిశయించు, అగ్గలమగు",,,,2,,,1,,,
పెల్లెత్తు,అతిశయించు,,,,2,,,1,,,
పేడు-పేను,పేను,,,,2,,,1,,,
పేటనపెట్టు,"1.చిక్కు కలిగించు, బాధకలిగించు, 2.ప్రయత్నించు",,,,2,,,1,,,
పేటాడు,"ఖండించు, త్రెంచు, 1.పెనగులాడు, 2.అతిశయించు",,,,2,,,1,,,
పేటిలు,"బీఅటలువాఱు, పగులు",పేటు,,,2,,,1,,,
పేటె(టులె)త్తు-పేడెత్తు,"1.చిటులు, బీటలువాఱు, 2.తొలగు, స్థానభ్రంశమునొందు, 3.తగ్గు, క్షీణించు, 4.అతిశయించు",  ,,,2,,,1,,,
పేట్రేగు,"చెలరేగు, విజృంభించు",,,2,1,,,,,,
పేడెత్తు-పేటెత్తు,"1.బీటలువాఱు, పగులు, 2.తొలగు, స్వస్థానమునుండి చలించు, 3.పోవు, నశించు.  

వీడు, వదలు",,,,1,2,,,,,
పేదగిలు,"కృశించు, చిక్కు",పేద,,,2,,,1,,,
పేదవడు,"1.దారిద్యము నొందు, బీదయగు, 2.చిక్కు, కృశించు, 3.సన్నగిల్లు",,,,2,,,1,,,
పేను-పేడు,"దారము మొ,, కలిపి పురియెక్కించి యేకము చేయు, పెనవెట్టు, మెలివెట్టు",,,,2,,,1,,,
పేరబడు,"దట్టముగా గూడు, సంఘీభవించు",,1,,2,,,,,,
పేరగు,"ప్రసిద్ధికెక్కు, విఖ్యాతమగు, గొప్పదగు",,,,2,1,,,,,
పేరడుగు,"రూపఱు, నశించు",,,,1,2,,,,,
పేరములువాలు-పేరెములువాలు,"పరుగెత్తు, ధావనవిశేషము చేయు",పేరము ,,2,1,,,,,,
పేరు,"1.అతిశయించు, మించు, 2.సాంద్రమగు, దట్టమగు, 3.ఘనీభవించు, గడ్డకట్టు, తోడుకొను",,,1,2,,,,,,
"పేరుకొ(ర్కొ,గొ)ను","1.అతిశయించు, ప్రవృద్ధమగు, 2.ఘనీభవించు, గద్దగట్టు, 3.ఖ్యాతికెక్కు, ప్రసిద్ధినొందు, 4. పెరుపెట్టు, పేరెట్టు,   

1.పెరుపెట్టి పిలుచు, పిలుచు, 2.స్తుతించు, పొగడు, 3.ఉచ్చరించు, పారాయణముచేయు, 4.వచించు, చెప్ప్య్, 5.తలపెట్టు, ప్రస్తావించు, 6.స్మరించు, తలచు",,,2,1,,,,,,
పేరు గ్రుచ్చు,"1.పేరు పెట్టి పిలుచు, 2.చెప్పు, వచించు, ఉచ్చరించు",,,2,1,,,,,,
పెరుగాంచు,"1.పేరు తాలుచు,నామమువహించు, 2.ఖ్యాతికెక్కు, ప్రసిద్ధినొందు",,,,2,1,,,,,
పేరుప(ర్ప)డు,"1.నామమువహించు, పేరుదాల్చియుండు, 2.ఖ్యాతికెక్కు, ప్రసిద్ధినొందు",,,,2,,,,1,,
పేరు పెట్టు,"1.నామకరణముచేయు, పేరుంచు, 2.మిషపెట్టు, 3.నామకార్ధము కొంతయిచ్చి వెల నిర్ణయించు",,,,1,2,,,,,
పెరువా(ర్వా)డు,"యద్ధాదులందు శౌర్యసూచకముగా నామము ప్రకటించు, పేరు చిప్పికొను",,,,1,2,,,,,
పెరువాఱు,"పేర్కొను, వాక్రుచ్చు",,,,2,,,,1,,
పేరెక్కు,"విఖ్యాతమగు, ప్రసిద్ధినొందు",,,2,1,,,,,,
పేరెము(లు)వా(ల్వా)ఱు,"1.పాఱు, పరుగెత్తు, 2.ఉఱుకు, గంతులువైచు, 3.ప్రసరించు, వ్యాపించు",,,,1,2,,,,,
పేరెముపె(వె)ట్టు,"పరుగిడు, పరుగెత్తు",,,2,1,,,,,,
పేరెలువాఱు,"పరుగులిడు, గంతులువేయు",,,2,1,,,,,,
పేరొందు,"ప్రసిద్ధికెక్కు, ఖ్యాతిగాంచు",,,2,1,,,,,,
పేర్కను,"ఖ్యాతికెక్కు, ప్రసిద్ధినొందు",,,2,1,,,,,,
పే(రుచు)ర్చు,"1.అతిశయించు, వర్ధిల్లు, 2.చెలరేగు, విజృంభించు, 3.ఉబ్బు, పొంగు, 4.ఉప్పొంగు, అంతోషించు.   

1.ఒకదానిమీదనొకటి యేర్పఱుచు, అమరుచు, 2.కూడబెట్టు, నులువచేయు, 3.అధికముగజేయు ",పేరు,,,2,1,,,,,
పేలు-ప్రేలు,"1.వేడిచే, వేగిపగులు, 2.వేడిమిచే బయలు దేఱిన చిన్న చిన్న పొక్కులు కలిగియుండు, 3.ధ్వనించు, 4.ఉపయోగము లేనిమాటలు అతిమాత్రముగా మాటలాడు, వదరు",,,,2,1,,,,,
పేలుచు(ల్చు)-ప్రేలుచు,పేలజేయు,పేలు,,,1,,,,,,
పైడిముడుచు,1.గర్భాదానము చేయు,ఫైడి,,1,2,,,,,,
పైదేలు,"బహిర్గతమగు, వెలువడు",,1,,2,,,,,,
పైబడు,"1.పూను, చలపట్టు, 2.దాపరించు, ప్రార్తించు",,,,2,1,,,,,
పైబెట్టు,మోపు,,,,2,,,,1,,
పైకొను-పయికొను,"1.మీఱు, అతిశయించు, 2.విజృంభించు, చెలరేగు, 3.ఎదుర్కొను, కవియు, పయిబడు, 4.యత్నించు, కడగు, 5.కలుగు, సంభవించు, 6.ఉండు, 7.చలపట్టు, 8.పడు, ప్రసరించు, మీదబడు, మీదగు, 9.సోకు, వ్యాపించు.   

1.కవుంగలించు, ఆలింగనము చేయు, 2.ఆక్రమించు, ఆవరించు, 3.పొందు, కూడు, 4.మీఱు, అతిక్రమించు",ఫై,,,2,,,,1,,
పైకొలుపు(ల్పు)-పయికొలుపు,పైకొనజేయు,,,,,2,,1,,,
పైచేయు-పైకొను,"అంటు, సోకు",,,2,1,,,,,,
పైనడుచు,"దండెత్తిపోవు, మీదకి నడుచు",,,,2,,,,1,,
పైనము(ముల)గు-పయనమగు,"1.బయలుదే`ౠ, 2.దాడివెడలు, దండెత్తు",,,,1,2,,,,,
పైపడు-పయిపడు,"1.మీఱు, 2.పైకొను, కవియు, సంభవించు, 3.కడగు, ఉద్యమించు.  

పొందు, రతియందు గూడు, ఎదిరించు, ఎదుర్కొను",,2,,,,,1,,,
ఫైవచ్చు,"మీదికి వచ్చు, ఉపద్రవకం మగు",,,,2,1,,,,,
పైవెట్టు,"బయలుపఱుచు, ప్రకటించు",,,1,2,,,,,,
పై(పయి)వోవు,"ఉన్మార్గగామియగు, త్రోవతప్పినడుచు",,,1,2,,,,,,
పొంకపడు,"పొందుపడు, చక్కపడు",,,,2,1,,s,,,
పొంకించు-పొంకపఱచు,"1.కూర్చు, అమర్చు, 2.ఆయత్తముచేయు, సిద్ధముచేయు, 3.చేర్చు, కలుపు, 4.రచించు, కూర్పు.  

శోభించు, ప్రకాశించు",,,,2,1,,,,,
పొంగలించు,"నిక్కబొడుచుకొను, ఉబుకు",పొంగలి,,2,1,,,,,,
పొంగారు-పొంగు,"1.ఉబుకు, ఉబ్బు, 2.నిక్కు, పైకి పొడుచుకొని వచ్చు, 3.అతిశయించు, మెండుకొను, నిండుగానుండు, 4.వ్యాపించు, ప్రసరించు, 5.విజృఒభించు, చెలరేగు, 6.సంతోషించు, ఆనందపడు",,,2,1,,,,,,
పొంగు-పొంగారు,"1.డబ్బు, ప్రమాణాధిక్యమునొందు, 2.అతిశయించు, మించు, పెరుగు, 3.వ్యాపించు, ప్రసరించు, 4.సంతోషపడు, ఆనదించు, వికాసమొందు, 5.విజృంభించు",,,,2,1,,,,,
పొంగుడువడు,"ఉల్బణతనొందు, పొంగు, అతిశయించు",,1,,2,,,,,,
పొగులెత్తు,"ఉడికిపొంగు, తాపముచే మబుకు",,1,,2,,,,,,
పొంచి(చు)కొను,"దాగి సమయమునకై నిరీక్షించియుండు, కనుపెట్టుకొను",,,,2,,,1,,,
పొంచియుం(చుం)డు,"ఏదేనుద్దేశముతో కనబడుకుండ మఱుగున సమయమునకై కనుపెట్టికొని యుండు, దాగియుండు",,,,2,,,1,,,
పొచులిడు,"పొంచు, దాగియుండు",,,,2,,,1,,,
పొంజు-పోజు,శుభ్రముచేసి సన్నముగాదీయు,,,2,,,,1,,,
పొంగించు,పొందజేయు,పొందు,,,2,,,1,,,
పొందు-ఒందు,"1.ప్రాపించు, పడయు, అనుభవించు, 2.రతియందు కలియు, 3.కలియు, (సమష్టిగా) కూడు, 4.ఆశ్రయించు, అంటు, తాకు, 5.చేరు, ప్రాపించు, 6.వలచు, ప్రేమించు.   

1.స్నేహించు, మైత్రి గలిగియుండు, 2.కూడుకొను, ఏకమగు, 3.పొసగు, అనుకూలపడు, 4.సంక్రమించు, చేరు, 5.సంగమించు, (రతియందు) కూడుకొను, 6.ప్రవేశించియుండు, ఉండు, 7.కలుగు, ప్రాప్తించు, 8.తగులుకొను, చిక్కు, 9.(కన్ను) మూతపడు, విమీలితమగు












",,,,2,,,1,,,
పొందుచేయు,"ఏర్పఱచు, సిద్ధపఱుచు",,,,2,1,,,,,
పొందుప(వ)డు,"అనుకూలించు, సరిపడు, 2.పొసగు, సందర్భశుద్ధి కలిగియుండు, 3. తగు, ఉచితమగు, 4. సిద్ధించు, సమకూరు, 5.నచ్చు, విశ్వాసపాత్రమగు, 6.సార్ధకమగు, 7. తేఱుకొను, స్వస్థమగు, 8. వ్యాపించు, నెరయు  ",,,,2,1,,,,,
పొందుపఱు(ఱ)చు,"1.చేర్చు, కూర్చు, 2. సవరించు, చక్కజేయు, తీర్చు, 3.అమర్చు, సిద్ధపఱుచు, 4.ఉంచు, పెట్టు, 5.నెలకొలుపు, నిలుపు",పొందుపడు,,1,2,,,,,,
పొందొందు ,"పొందుపడు, పొసంగు",,,,2,,,1,,,
పొంపడు,"కాంతిహీనమగు, చెన్నఱు",,2,,1,2,,,,,
పొంపిరిగొను,"పంపొందు, అతిశయించు, 2.దట్టముగా నేర్పడు, సాంద్రమగు ",,2,,1,,,,,,
పొంపిరివోవు,"1.అతిశయించు, అధికమగు, 2.పొంగిపాఱు, వెల్లివిరియు, 3.వర్ధిల్లు, పెరుగు, 4.వ్యాపించు, పర్వు , 5.గర్వించు, చెలరేగు, విజృంభించు, 6.ఉప్పొంగు, సంతోషించు, 7.ప్రసిద్ధి కెక్కు, 8.ఒప్పారు, శోభిల్లు, 9.పుట్టు, కలుగు ",,,2,1,,,,,,
పొంపుతఱుగు,"గోల్పోవు, క్షీణించు",,,,,1,2,,,,
పొంపెనగు-పెంపెనగు,"మించు, అతిశయించు",,,,2,,,1,,,
పొంపెనలారు,"ఒప్పగు, మనోజ్ఞమగు",,,,,,,,,,
పొకారుచు-పోకారుచు,"నాశముచేయు, చంపు, వధించు ",పొకాడు ,,,1,2,,,,,
పొకాలు-పోకాలు,"1.వెడలు, నిర్గతమగు, 2.చచ్చు, మరణించు ",,,2,1,,,,,,
పొకాలుచు(ల్చు),"పొకాల జేయు, పోగొట్టు, నశింపజేయు",పొకాలు,,,1,,2,,,,
పొక్కిప(వ)డు,"1.పరితపించు, దుఃఖించు, 2.పగులు, వ్రేలిపడు, 3.మండిపడు, కోపపడు, 4.ఉలికిపడు",పొక్కు,,,1,2,,,,,
పొక్కు,"1.దుఃఖించు, శోకించు, 2.పరితపించు, వేదనపడు, 3.బొబ్బలేచినదగు, బొబ్బలెక్కు, పొడము, లేచు, 4.బయలుపడు, ప్రకటితమగు, 5.ఉలుకు, బెదరు",,,,1,,,,2,,
పొక్కెత్తు,ఎండుటచే పెల్లలేచు ,,,1,,,,2,,,
పొగచు-పొగపు ,"1.పొగపట్టించు, పొగగ్రమ్మజేయు, 2.తాలించు, తిరుగబోయు",పొగయు,,,1,,2,,,,
పొగచూ(సూ)రు,"1.దూమితమగు; నిస్తేజమగు, 2.పొగవాసన వేయు, 3.పొసగు, పొందుపడు",,,2,1,,,,,,
పొగడించు,"పొగడ జేయు, స్తుతింపజేయు",పొగడు,,,1,,,2,,,
పొగడు,"కొనియాడు, స్తుతించు, శ్లాఘించు, 1.స్తుతి, 2.కీర్తి, ప్రసిద్ధి ",,,,1,,,2,,,
పొగడువడు,వినుతి నొందు ,,,,1,,,2,,,
పొగడ్తవడు,వినుతినొందు,,,,1,,,2,,,
పొగవు - పొగచు,"1.తలించు, తిరుగబోయు, 2.పక్వముచేయు, ఉడికించు",పొగయు,,,1,,,2,,,
పొగయు-పొవయు,"పొగచిమ్ము, పొగకలదియగు, రాజు, 2.కుములు, లోలోపల తపించు, 3.ఆవిరిక్రమ్మ్, ఊష్మవంతమగు",పొగ,,,1,,,2,,,
పొగరించు,"అతిశయించు, అధికమగు",పొగరు,,,1,,,2,,,
పొగరుమార్చు,చంపు,,,,,,1,,2,,
పొగరెక్కు,"గర్వించు, మధించు, 2.బలియు, మిక్కుటమగు, అతిశయించు  ",,,,1,,,2,,,
పొగవైచు,"గుగ్గిలము, పొగవచ్చునట్లు, నిప్పులమీదవేయు",పొగ,,,1,2,,,,,
పొగసూపు,దేవతాదులకు ధూపమువేయు,,,,1,,,,2,,
పొగిలించు,"పొగలజేయు, దుఃఖపెట్టు",పొగులు,,,1,,,2,,,
పొగులు-పొవులు,"1.కుములు, ఉడుకు, 2.పరితపించు, తాపమునొందు, బాధపడు, 3.దుఃఖించు, శోకించు",,,,1,,,2,3,,
పొచ్చువోపు,"1.కొఱతవడు, తక్కువవడు, 2.అగౌరవపడు, లాఘవమునొందు",,,,1,,,2,,,
పొటకరించు,"ఉద్గతమగు, పైకుబుకు, 2.స్ఫుటమగు, స్పష్టమగు, 3.వర్ధిల్లు, పెరుగు, వృద్ధినొందు",,,2,1,,,,,,
పొటమరించు-పొటమరిలు,"1.ఉద్గమగు, పైకివచ్చు, 2. అంకురించు, పుట్టు, 3.ఉబ్బు, ఉబుకు",పొటము,,2,1,,,3,,,
పొటమరిల్లు(ల్లు) - పొటమరించు,"ఉద్గమగు, బయలువెడలు, పుట్టు, కలుగు",పొటము,,,,,,1,2,,
